port, timestamp,snr,signal,noise,ms
C,1764745049.372,1,0
G,1764745066,13.091886667,-16.768938333,3.4
p1,1764745101.7621,4.641,-24.12,-31.13,6.045
p1,1764745101.7841,3.488,-14.36,-47,32.63
p1,1764745101.9011,3.481,-14.52,-42.8,28.27
p1,1764745102.0331,3.484,-14.27,-46.86,32.59
p1,1764745111.8618,3.439,-17.56,-45.83,28.27
p1,1764745111.8836,3.439,-17.58,-45.82,28.23
p1,1764745112.0008,3.438,-17.49,-52.32,34.83
p1,1764745112.1325,3.436,-17.59,-45.17,27.57
p1,1764745121.9610,3.281,-18.02,-50.34,32.32
p1,1764745121.9830,3.283,-18.29,-53.03,34.74
p1,1764745122.1003,3.235,-18.9,-56.91,38.01
p1,1764745122.2320,3.25,-17.05,-52.01,34.96
G,1764745126,13.091888333,-16.76894,3.4
p1,1764745132.0605,3.272,-26.55,-64.72,38.17
p1,1764745132.0825,3.284,-26.8,-64.99,38.2
p1,1764745132.1998,3.263,-28.48,-58.14,29.65
p1,1764745132.3315,3.264,-28,-65.93,37.93
p1,1764745142.1600,3.441,-45.86,-69.88,24
p1,1764745142.1820,3.444,-45.38,-69.64,24.25
p1,1764745142.2990,3.439,-44.37,-68.7,24.32
p1,1764745142.4310,3.445,-43.61,-69.02,25.39
C,1764745148.005,5,0
p1,1764745152.1985,3.462,-42.35,-67.52,25.16
p1,1764745152.2202,3.46,-42.15,-67.48,25.32
p1,1764745152.3374,3.459,-41.4,-69.73,28.32
p1,1764745152.4692,3.46,-40.49,-66.02,25.51
p1,1764745152.4695,3.464,-42.97,-52.68,9.209
p1,1764745162.2977,3.469,-45.55,-69.64,24.08
p1,1764745162.3197,3.47,-45.31,-69.38,24.06
p1,1764745162.4369,3.474,-45.93,-69.96,24.01
p1,1764745162.5687,3.472,-47.99,-70.43,22.41
C,1764745168.005,4,0
p1,1764745172.3972,3.438,-31.24,-66.91,35.66
p1,1764745172.4192,3.441,-31.06,-66.24,35.18
p1,1764745172.5365,3.442,-31.66,-61.05,29.39
p1,1764745172.6682,3.439,-32.4,-67.92,35.52
p1,1764745182.4967,3.461,-33.85,-64.98,31.13
p1,1764745182.5187,3.464,-33.37,-62.13,28.76
p1,1764745182.6357,3.458,-30.71,-60.08,29.36
p1,1764745182.7677,3.459,-29.14,-60.49,31.35
G,1764745186,13.091888333,-16.768941667,4.7
p1,1764745192.5962,3.473,-16.93,-44.57,27.63
p1,1764745192.6179,3.472,-16.92,-47.34,30.42
p1,1764745192.7352,3.472,-16.96,-54.36,37.4
p1,1764745192.8669,3.471,-17.09,-45.59,28.49
p1,1764745202.6954,3.471,-21.55,-54.98,33.43
p1,1764745202.7174,3.474,-21.54,-59.36,37.82
p1,1764745202.8347,3.474,-21.63,-59.13,37.5
p1,1764745202.9664,3.473,-21.64,-58.14,36.5
p1,1764745212.7949,3.481,-23.04,-62.58,39.54
p1,1764745212.8169,3.484,-23.02,-60.87,37.85
p1,1764745212.9342,3.483,-22.89,-52.06,29.17
p1,1764745213.0659,3.483,-22.47,-59.98,37.51
p1,1764745222.8944,3.467,-20.51,-52.98,32.47
p1,1764745222.9164,3.469,-20.67,-51.04,30.36
p1,1764745223.0334,3.471,-20.06,-51.66,31.6
p1,1764745223.1654,3.476,-18.68,-49.15,30.47
p1,1764745232.9937,3.472,-27.6,-55.79,28.19
p1,1764745233.0157,3.474,-29.2,-59.62,30.42
p1,1764745233.1329,3.471,-25.51,-65.41,39.9
p1,1764745233.2646,3.452,-26.44,-56.49,30.04
p1,1764745243.0931,3.428,-27.36,-62.05,34.69
p1,1764745243.1151,3.434,-27.33,-65.79,38.46
p1,1764745243.2324,3.432,-27.43,-62.43,35
p1,1764745243.3642,3.431,-27.32,-64.47,37.15
G,1764745246,13.091886667,-16.768945,5.2
p1,1764745253.1927,3.44,-41.96,-74.04,32.08
p1,1764745253.2147,3.443,-39.93,-72.04,32.11
p1,1764745253.3316,3.469,-40.25,-52.9,12.41
p1,1764745253.3319,3.473,-37.35,-65.42,28.06
p1,1764745253.4636,3.477,-34.71,-69.58,34.87
p1,1764745263.2921,3.457,-61.03,-74.87,13.66
p1,1764745263.3141,3.444,-60.05,-74.97,14.77
p1,1764745263.4311,3.441,-59.79,-74.83,14.9
p1,1764745263.5631,3.479,-58.79,-74.56,15.65
p1,1764745273.3914,3.455,-65.69,-75.28,9.087
p1,1764745273.4134,3.445,-64.97,-74.99,9.573
p1,1764745273.5306,3.435,-63.11,-75.27,11.89
p1,1764745273.6624,3.479,-63.92,-75.23,10.98
p1,1764745293.7296,3.45,-67.27,-75.12,7.079
p1,1764745293.8614,3.434,-67.23,-75.54,7.608
p1,1764745303.8291,3.404,-68.01,-75.44,6.571
G,1764745306,13.091888333,-16.768945,5.7
